"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04625","hsa04625","C-type lectin receptor signaling pathway",105,0.680091331739746,1.85044536046471,1.56688464044891e-05,0.000449173596928686,0.000343615052730023,3879,"tags=35%, list=10%, signal=32%","RELB/TNF/IRF1/NFKB2/NFKB1/NFKBIA/IKBKE/BCL3/PIK3R3/P3R3URF-PIK3R3/RRAS/CYLD/PLK3/MAPKAPK2/ITPR2/JUN/CLEC7A/MDM2/CASP8/CBLB/BCL10/IL23A/ARHGEF12/IKBKG/ITPR1/IKBKB/RELA/NRAS/STAT2/PLCG2/NFATC1/MRAS/PAK1/CCL22/CALML6/NFATC4/IL12A"
"hsa04380","hsa04380","Osteoclast differentiation",134,0.629401046033606,1.76742923763984,1.47851221367563e-05,0.000449173596928686,0.000343615052730023,3082,"tags=25%, list=8%, signal=23%","RELB/SQSTM1/TNF/NFKB2/JUNB/NFKB1/NFKBIA/NOX1/PIK3R3/BLNK/P3R3URF-PIK3R3/CYLD/CTSK/IFNGR2/IFNGR1/ITPR2/FOSL2/JUN/CSF1/TRAF2/IFNAR1/IKBKG/JUND/ITPR1/IKBKB/RELA/ACP5/STAT2/FCGR2C/PLCG2/NFATC1/TNFRSF1A/RAC1/TYK2"
"hsa03460","hsa03460","Fanconi anemia pathway",54,-0.76533427618117,-1.86074707910103,2.47691697266775e-05,0.00065543033738285,0.000501400196896305,3221,"tags=57%, list=9%, signal=53%","CENPS/CENPS-CORT/TELO2/FAN1/RPA3/RPA1/ATRIP/RAD51C/FAAP24/HES1/USP1/CENPX/RMI1/RPA2/FANCM/TOP3A/FANCA/FANCC/FANCE/FANCD2/FANCB/EME1/FANCG/BRCA2/BLM/FANCI/BRCA1/RAD51/BRIP1/RMI2/UBE2T"
"hsa05162","hsa05162","Measles",139,0.623316330527604,1.75378543437943,2.97371092445638e-05,0.000690834675165643,0.000528484298627328,4735,"tags=35%, list=13%, signal=30%","TNFAIP3/IL2RG/NFKB1/NFKBIA/RIGI/IKBKE/NFKBIB/FAS/PIK3R3/P3R3URF-PIK3R3/BBC3/TP53/RAB9A/TRAF3/IFIH1/JUN/STAT5A/BID/CASP8/MX1/CBLB/BAX/OAS1/HSPA1L/IRF3/IFNAR1/IKBKG/IKBKB/HSPA1B/RELA/HSPA1A/MSN/STAT2/TYK2/OAS3/EIF3H/CDKN1B/ADAR/TRADD/GSK3B/IL12A/JAK1/STAT3/PIK3CD/IRF7/FOS/TAB2/MAPK10"
"hsa05417","hsa05417","Lipid and atherosclerosis",215,0.560840704959122,1.67541734658302,3.01236050217577e-05,0.000690834675165643,0.000528484298627328,5212,"tags=32%, list=14%, signal=28%","CCL2/TNF/NFKB1/NFKBIA/IKBKE/NOS3/ABCA1/FAS/NOX1/PIK3R3/P3R3URF-PIK3R3/TP53/CXCL8/TRAF3/JUN/LYN/TNFSF10/RAP1B/POU2F3/ERO1A/TICAM1/BID/CASP8/CASP7/TRAF2/TNFRSF10B/CYP2C9/BAX/HSPA1L/IRF3/IKBKG/CCL5/PTK2/SOD2/MAP2K3/ITPR1/IKBKB/HSPA1B/RELA/DDIT3/HSPA1A/TANK/LY96/NRAS/ABCG1/HSPA4/NFATC1/TNFRSF1A/RAC1/CALML6/VAV3/GSK3B/IL12A/ERN1/CASP6/STAT3/RXRB/ARHGEF1/PIK3CD/IRF7/FOS/TAB2/MAPK10/CDC42/MAP2K4/ATF6/XBP1/MAPK3/POU2F1"
"hsa05164","hsa05164","Influenza A",171,0.588022960603435,1.71564499965348,3.82797906666753e-05,0.000823015499333519,0.000629601820175581,4039,"tags=29%, list=11%, signal=26%","CCL2/TNF/NFKB1/CXCL10/NFKBIA/RIGI/IKBKE/NFKBIB/FAS/HLA-DQB1/TLR3/PIK3R3/P3R3URF-PIK3R3/NXT2/CXCL8/IFNGR2/IFNGR1/TRAF3/IFIH1/RNASEL/TNFSF10/TICAM1/BID/HLA-DQB2/CASP8/MX1/RSAD2/PRSS1/TNFRSF10B/BAX/OAS1/PRSS2/IRF3/HLA-DRA/IFNAR1/IKBKG/CCL5/IKBKB/RELA/STAT2/TNFRSF1A/TYK2/RAB11B/OAS3/PRSS3/ADAR/TRADD/IL12A/JAK1/ACTG1"
"hsa04657","hsa04657","IL-17 signaling pathway",94,0.670752796329581,1.80547473901307,9.59633055043999e-05,0.00191804955233667,0.0014672961691682,2627,"tags=27%, list=7%, signal=25%","CCL20/CCL2/LCN2/TNFAIP3/TNF/NFKB1/CXCL10/NFKBIA/IKBKE/IL17C/S100A9/CXCL8/TRAF3IP2/TRAF3/JUN/MMP13/CASP8/TRAF2/IL17RE/IKBKG/TAB3/JUND/IKBKB/RELA/TRAF4"
"hsa03440","hsa03440","Homologous recombination",41,-0.771027432073735,-1.7924826616888,0.000100363057971105,0.00191804955233667,0.0014672961691682,2859,"tags=56%, list=8%, signal=52%","NBN/BRCC3/RPA3/RPA1/RAD51C/MRE11/RAD51D/RPA2/TOP3A/TOPBP1/POLD1/RBBP8/XRCC3/EME1/BRCA2/POLD3/BLM/BRCA1/XRCC2/RAD51/BRIP1/RAD54L/RAD54B"
"hsa04064","hsa04064","NF-kappa B signaling pathway",104,0.654723691765794,1.78177588659476,0.0001208151848456,0.00218739071509928,0.00167334051032686,3014,"tags=25%, list=8%, signal=23%","BIRC3/RELB/TNFAIP3/TNF/NFKB2/NFKB1/NFKBIA/LTB/RIGI/GADD45G/BLNK/CYLD/CXCL8/TRAF3/LYN/TICAM1/TRAF2/BCL10/IKBKG/TAB3/IKBKB/RELA/LY96/BIRC2/PLCG2/TNFRSF1A"
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway",82,0.665734268159357,1.7596601692206,0.000187800023655082,0.00323016040686742,0.00247105294283003,2808,"tags=21%, list=7%, signal=19%","NFKB1/CXCL10/NFKBIA/RIGI/IKBKE/NFKBIB/ZDHHC1/POLR3GL/CASP8/CASP7/IRF3/IKBKG/CCL5/IKBKB/RELA/POLR1D/SAMHD1"
"hsa04620","hsa04620","Toll-like receptor signaling pathway",107,0.63752928205612,1.73452477310032,0.000242849752743339,0.00397811023541469,0.00304322998425236,4788,"tags=34%, list=13%, signal=29%","TNF/NFKB1/CXCL10/NFKBIA/MAP3K8/IKBKE/TLR3/PIK3R3/P3R3URF-PIK3R3/CTSK/CXCL8/TRAF3/JUN/CXCL11/TICAM1/CASP8/IRF3/IFNAR1/IKBKG/CCL5/MAP2K3/IKBKB/RELA/LY96/STAT2/IRF5/RAC1/TYK2/IL12A/JAK1/PIK3CD/IRF7/FOS/TAB2/MAPK10/MAP2K4"
"hsa05332","hsa05332","Graft-versus-host disease",39,0.772739319408462,1.82232291587563,0.000266574735622823,0.00416825950246596,0.00318869300984238,2378,"tags=28%, list=6%, signal=26%","TNF/HLA-A/HLA-B/FAS/HLA-DQB1/HLA-C/HLA-E/HLA-F/HLA-DQB2/HLA-DRA/HLA-G"
"hsa05322","hsa05322","Systemic lupus erythematosus",135,0.587824268811189,1.65417083676084,0.000311939671724111,0.00466553248143888,0.00356910379547038,3022,"tags=28%, list=8%, signal=26%","TNF/H2AC19/H2AC18/H2BC4/HLA-DQB1/H2AC13/H2AC20/H2BC18/H3C13/H4C2/H2BC21/H2BC8/H2BC5/H4C5/H4C8/H2AC6/TRIM21/H3C6/H2AC8/H3C10/H2AC15/H2BC7/H2BC6/C1S/HLA-DQB2/LOC102724334/H2BC12/H4C12/H2BC11/H2BC12L/HLA-DRA/H3-3B/H4C16/H2AC17/H4C11/H2AC7/H2AC4/C1R"
"hsa05203","hsa05203","Viral carcinogenesis",204,0.535335903571205,1.58625815486368,0.000339942092781547,0.00487250332986884,0.00372743522786784,5110,"tags=39%, list=14%, signal=34%","NFKB2/NFKB1/NFKBIA/HLA-A/HLA-B/IL6ST/H2BC4/CDKN1A/HLA-C/PIK3R3/P3R3URF-PIK3R3/REL/CREB3/H2BC18/HLA-E/TP53/H4C2/H2BC21/H2BC8/CDKN2B/H2BC5/H4C5/MAPKAPK2/H4C8/TRAF3/GSN/JUN/HLA-F/LYN/H2BC7/H2BC6/STAT5A/SP100/MDM2/RBL2/CHD4/CASP8/TRAF2/LOC102724334/H2BC12/GTF2E1/ATF6B/BAX/GTF2B/GTF2E2/H4C12/CDKN2A/IRF3/H2BC11/H2BC12L/IKBKG/HLA-G/H4C16/CREB5/RELA/NRAS/H4C11/PRKACB/RAC1/TBPL1/HDAC7/CDKN1B/TRADD/HDAC5/JAK1/H4C15/STAT3/YWHAB/PIK3CD/IRF7/PXN/CDC42/LTBR/GRB2/CREBBP/EP300/H4C9/GTF2H2C/MAPK3"
"hsa04612","hsa04612","Antigen processing and presentation",71,0.689157998512474,1.77192021832474,0.000483237054193938,0.00664934186570859,0.00508670583362041,3254,"tags=32%, list=9%, signal=30%","TNF/TAPBP/TAP1/PSME1/HLA-A/HLA-B/CTSS/B2M/PSME2/HLA-DQB1/HLA-C/HLA-E/HLA-F/HLA-DQB2/RFX5/IFI30/HSPA1L/HLA-DRA/HLA-G/HSPA1B/HSPA1A/HSPA4/TAP2"
"hsa05320","hsa05320","Autoimmune thyroid disease",52,0.705985942571486,1.74878069901306,0.000772892255409904,0.00926860195178058,0.00709042376972199,2378,"tags=19%, list=6%, signal=18%","HLA-A/HLA-B/FAS/HLA-DQB1/HLA-C/HLA-E/HLA-F/HLA-DQB2/HLA-DRA/HLA-G"
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids",27,-0.790377734858307,-1.69690812580484,0.00075145837868483,0.00926860195178058,0.00709042376972199,4438,"tags=56%, list=12%, signal=49%","ACOX1/HACD3/SCD5/ELOVL1/SCD/ELOVL6/ELOVL2/ACOT7/FADS2/HSD17B4/FADS1/HACD2/ACAA1/ELOVL5/ELOVL7"
"hsa04114","hsa04114","Oocyte meiosis",135,-0.570937423450466,-1.60279924884117,0.000781364699423363,0.00926860195178058,0.00709042376972199,5770,"tags=38%, list=15%, signal=32%","MAPK14/SPDYE17/PPP2R5C/CPEB1/CALM3/PPP1CB/RBX1/ANAPC10/PPP3CC/YWHAQ/RPS6KA3/CALML4/ANAPC5/ANAPC1/PPP3R2/BTRC/CDC27/CPEB2/MAD2L2/ADCY1/PPP1CC/PTTG1/CAMK2B/CDC23/SMC1A/ADCY3/CCNB1/MAP2K1/CAMK2D/CCNE1/SMC3/PLK1/PPP3CB/CDC20/CDC25C/CCNB2/YWHAH/CPEB3/BUB1/AURKA/ESPL1/AR/CDK1/SGO1/IGF1/FBXO5/CCNE2/MAD2L1/PKMYT1/CDK2/IGF1R"
"hsa05160","hsa05160","Hepatitis C",159,0.549679639638511,1.58755068998166,0.000726135014079972,0.00926860195178058,0.00709042376972199,4488,"tags=30%, list=12%, signal=27%","TNF/NFKB1/CXCL10/NFKBIA/RIGI/IKBKE/CDKN1A/FAS/PPP2R2A/TLR3/PIK3R3/P3R3URF-PIK3R3/OCLN/CLDN12/TP53/CLDN4/TRAF3/EGF/RNASEL/TICAM1/BID/CASP8/TRAF2/MX1/RSAD2/BAX/OAS1/IRF3/IFNAR1/IKBKG/IKBKB/RELA/NRAS/STAT2/TNFRSF1A/TYK2/OAS3/IFIT1/SOS2/CLDN20/TRADD/GSK3B/JAK1/STAT3/YWHAB/CTNNB1/PIK3CD/IRF7"
"hsa00860","hsa00860","Porphyrin metabolism",46,0.724261817078211,1.77947434667609,0.000899916097274488,0.0103190379154141,0.00789400085328498,2136,"tags=39%, list=6%, signal=37%","UGT2B10/UGT2B15/UGT2B17/UGT2B11/FTH1/UGT2B7/UGT1A3/UGT1A10/HMOX1/UGT1A4/UGT1A8/UGT1A9/UGT1A7/UGT1A5/UGT1A6/ALAS1/UGT1A1/FTL"
"hsa05330","hsa05330","Allograft rejection",37,0.747805452690954,1.74556706111372,0.00100673283378799,0.0104944271158505,0.0080281725182455,2378,"tags=30%, list=6%, signal=28%","TNF/HLA-A/HLA-B/FAS/HLA-DQB1/HLA-C/HLA-E/HLA-F/HLA-DQB2/HLA-DRA/HLA-G"
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity",127,0.578435374623945,1.61301499092903,0.000966248519792356,0.0104944271158505,0.0080281725182455,5343,"tags=29%, list=14%, signal=25%","TNF/RAET1L/HLA-A/HLA-B/FAS/HLA-C/PIK3R3/P3R3URF-PIK3R3/SHC2/HLA-E/IFNGR2/IFNGR1/TNFSF10/PTPN6/BID/TNFRSF10B/IFNAR1/HCST/HLA-G/NRAS/PLCG2/NFATC1/RAC1/SOS2/KLRK1/PAK1/KLRC4-KLRK1/VAV3/SHC3/SHC1/MICA/PIK3CD/GRB2/ICAM2/MAPK3/MAP2K2/FCER1G"
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",195,0.525766671575552,1.5461262170965,0.000979612606383268,0.0104944271158505,0.0080281725182455,4927,"tags=37%, list=13%, signal=32%","NFKB1/NFKBIA/IKBKE/HLA-A/HLA-B/IL6ST/CDKN1A/FAS/TLR3/HLA-C/PIK3R3/P3R3URF-PIK3R3/HLA-E/TP53/ZFP36/CXCL8/MAPKAPK2/IFNGR1/TRAF3/ITPR2/JUN/HLA-F/LYN/LEF1/TCF7L2/TICAM1/BID/PIK3R6/CASP8/MAP1LC3B/TRAF2/BAX/IRF3/CLEC2B/IFNAR1/IKBKG/HLA-G/ITPR1/IKBKB/GNG3/ATG3/RELA/GNG5/NRAS/STAT2/PLCG2/VEGFA/NFATC1/MAP1LC3B2/TNFRSF1A/RAC1/TYK2/PIK3C3/BECN1/CALML6/ANGPT2/NFATC4/TRADD/GSK3B/JAK1/GNG12/STAT3/ATG14/MICA/CTNNB1/PIK3CD/IRF7/FOS/MAPK10/MAP2K4/CREBBP/EP300"
"hsa04613","hsa04613","Neutrophil extracellular trap formation",191,0.531564215802675,1.565047745425,0.00110855998062669,0.0112160186275171,0.00858018560856574,5640,"tags=35%, list=15%, signal=30%","NFKB1/ITGAM/H2AC19/H2AC18/H2BC4/CASP4/PIK3R3/P3R3URF-PIK3R3/H2AC13/H2AC20/H2BC18/H3C13/H4C2/H2BC21/H2BC8/H2BC5/H4C5/GP1BA/H4C8/H2AC6/H3C6/H2AC8/H3C10/H2AC15/CLEC7A/H2BC7/H2BC6/CLCN3/LOC102724334/H2BC12/H4C12/H2BC11/H2BC12L/H3-3B/H4C16/RELA/H2AC17/ATG7/H4C11/H2AC7/H2AC4/PLCG2/RAC1/H3-5/CLCN5/HDAC7/FCGR2A/HDAC5/ACTG1/H4C15/SLC25A6/PIK3CD/H3C14/H2AC25/H3C4/H2AC11/FGA/H4C9/H2AC14/MAPK3/GSDMD/HDAC6/MAP2K2/H3-3A/H4C14/CAMP/MACROH2A2"
"hsa03013","hsa03013","Nucleocytoplasmic transport",108,-0.594713304206827,-1.63059378265981,0.00155059726886085,0.0152401560139467,0.0116586260816605,6173,"tags=51%, list=16%, signal=43%","THOC5/PYM1/NUP43/NMD3/XPO7/DDX19A/SRRM1/MAGOH/NUP88/POM121C/NCBP1/RAE1/NUP133/IPO13/IPO7/SUMO2/TNPO3/SUMO3/NUP98/THOC1/NUP107/UPF1/ALYREF/AHCTF1/NUP62/MAGOHB/IPO5/RAN/KPNB1/RANGAP1/IPO11/NUP54/KPNA2/NUP153/EIF4A3/NUP93/XPOT/TMEM33/RANBP17/NUP37/NUP50/NUP160/NUP210/RNPS1/NUP188/NDC1/NUP58/NXT1/IPO9/NUP155/THOC3/NUP205/NUP85/CSE1L/NUP35"
"hsa03050","hsa03050","Proteasome",46,0.706161660506177,1.73500318509989,0.00167474205997399,0.0158811414640349,0.0121489760281785,6806,"tags=57%, list=18%, signal=46%","PSMB9/PSME1/PSMB8/PSME2/PSMB10/PSMF1/PSME4/PSMA3/POMP/SEM1/PSMD4/PSMB6/ADRM1/PSMB3/PSMC4/PSMB7/PSMB2/PSMB4/PSMB1/PSMA1/PSMC6/PSMA5/PSMD14/PSMD7/PSMD3/PSMD1"
"hsa05144","hsa05144","Malaria",50,0.684831099431792,1.68422415197114,0.0017081460295619,0.0158811414640349,0.0121489760281785,4487,"tags=22%, list=12%, signal=19%","CCL2/TNF/CXCL8/SDC2/MET/LRP1/THBS3/KLRK1/KLRC4-KLRK1/IL12A/THBS4"
"hsa00053","hsa00053","Ascorbate and aldarate metabolism",30,0.776140004697245,1.74806521291542,0.0022318056491316,0.0202037142974019,0.0154557177917701,2395,"tags=50%, list=6%, signal=47%","UGT2B10/UGT2B15/UGT2B17/UGT2B11/UGT2B7/UGT1A3/UGT1A10/UGT1A4/UGT1A8/UGT1A9/UGT1A7/UGT1A5/UGT1A6/UGT1A1/UGDH"
"hsa00140","hsa00140","Steroid hormone biosynthesis",63,0.647086476763447,1.65017766214702,0.00238935104469912,0.0209394037008177,0.0160185156830001,1762,"tags=30%, list=5%, signal=29%","UGT2B10/UGT2B15/AKR1C2/AKR1C1/UGT2B17/AKR1C3/UGT2B11/UGT2B7/SRD5A3/CYP3A5/UGT1A3/UGT1A10/UGT1A4/UGT1A8/UGT1A9/UGT1A7/UGT1A5/UGT1A6/UGT1A1"
"hsa05163","hsa05163","Human cytomegalovirus infection",224,0.481419860736904,1.44789992511633,0.00243481438381601,0.0209394037008177,0.0160185156830001,4499,"tags=29%, list=12%, signal=25%","CCL2/TNF/NFKB1/TAPBP/NFKBIA/TAP1/HLA-A/HLA-B/CDKN1A/B2M/FAS/HLA-C/PIK3R3/P3R3URF-PIK3R3/CREB3/HLA-E/TP53/CXCL8/ITPR2/ITGAV/HLA-F/MDM2/BID/TSC1/CASP8/TRAF2/ATF6B/CX3CL1/BAX/CDKN2A/IRF3/ARHGEF12/IKBKG/CCL5/PTK2/HLA-G/CREB5/ITPR1/IKBKB/GNG3/RELA/GNG5/NRAS/VEGFA/NFATC1/PRKACB/TNFRSF1A/RAC1/ROCK1/TAP2/SOS2/CALML6/NFATC4/TRADD/GSK3B/JAK1/GNG12/ARHGEF11/STAT3/ARHGEF1/IL6R/CTNNB1/PIK3CD/ADCY7"
"hsa04142","hsa04142","Lysosome",133,0.558535990793995,1.56882413829212,0.00252719975988993,0.0212038223756619,0.0162207943510265,8118,"tags=57%, list=22%, signal=45%","NEU1/MANBA/CTSS/NCOA7/CTSK/CD63/CTSO/GNPTAB/TPP1/MAN2B1/ACP2/LITAF/CLN3/SLC11A2/HEXA/IDUA/CTSD/ARSA/LAMP1/AGA/CTNS/ACP5/CTSA/HGSNAT/NPC2/AP1G2/IDS/NAGLU/M6PR/IGF2R/AP1G1/GBA1/ABCA2/ATP6AP1/HEXB/ATP6V0C/CTSB/FUCA1/LAMP2/NAPSA/CD68/ATP6V1H/PSAP/AP3D1/LAPTM4B/HYAL2/SGSH/LAPTM5/GLB1/MFSD8/CTSF/AP3B1/AP1S1/SUMF1/PLA2G15/DNASE2/ENTPD4/ARSB/CLTA/MEAK7/GGA1/HYAL3/CLTB/LAPTM4A/GALNS/GGA3/CTSW/GM2A/CTSE/CD164/AP1S2/CTSZ/LGMN/AP4M1/AP1M2/AP3B2"
"hsa04940","hsa04940","Type I diabetes mellitus",42,0.713424416810476,1.70530797686438,0.00303147453262332,0.0243005993340392,0.0185898097720618,2658,"tags=29%, list=7%, signal=27%","TNF/HLA-A/HLA-B/FAS/HLA-DQB1/HLA-C/HLA-E/HLA-F/HLA-DQB2/HLA-DRA/HLA-G/ICA1"
"hsa04659","hsa04659","Th17 cell differentiation",107,0.581962238445977,1.58334361731263,0.0030375749167549,0.0243005993340392,0.0185898097720618,3082,"tags=22%, list=8%, signal=21%","IL2RG/NFKB1/NFKBIA/NFKBIE/IL6ST/NFKBIB/HLA-DQB1/IL4R/IFNGR2/IFNGR1/JUN/IL27RA/STAT5A/HLA-DQB2/SMAD3/HLA-DRA/IL23A/IKBKG/AHR/IKBKB/RELA/RARA/NFATC1/TYK2"
