GSM3378079	GSM3378080	GSM3378081	GSM3378082	GSM3378083	GSM3378084
PRAMEF10	0.04417	0	0	0	0	0
PRAMEF7	0.08647	0	0.03979	0	0.04504	0.07682
PRAMEF6	0	0.04505	0	0.03905	0	0.03479
PRAMEF27	0	0.05392	0	0	0	0
HNRNPCL3	0.06696	0.07702	0.1232	0	0.1395	0.1785
PRAMEF25	0	0.03996	0	0	0.03619	0.06172
PRAMEF34P	0.1217	0.105	0.08399	0.09102	0.03169	0.1351
HNRNPCL2	1.573	1.676	1.555	1.743	1.518	1.656
PRAMEF36P	0.1217	0.06999	0.08399	0.06068	0.03169	0.1622
PRAMEF26	0	0.04341	0	0	0	0
HNRNPCL4	0.2178	0.2505	0.4008	0.2895	0.2268	0.2579
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0.02743	0	0	0	0	0.02437
PRAMEF18	0	0	0	0	0	0
PRAMEF5	0.03631	0	0	0.03621	0	0.03226
PRAMEF8	0.1206	0	0.03698	0	0.1256	0.07141
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0.03324	0	0.03763	0.03209
PRAMEF14	0	0	0.02522	0	0	0.02435
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0.03098	0	0
LOC102724856	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0
PDPN	0.02144	0	0.01973	0	0	0
LOC107984919	0	0	0	0	0	0
LOC105378612	0	0	0.0552	0	0	0.05329
LOC105376756	0	0	0	0	0	0
PRDM2	11.91	11.66	10.12	10.35	11.82	12.72
KAZN	1.129	1.155	0.4523	0.569	1.007	1.18
LOC107985467	0	0.0183	0.01464	0.01586	0.01657	0
LOC107985468	0	0	0	0	0	0
KAZN-AS1	0.05402	0	0	0	0.05627	0.09598
LOC105376759	0	0	0	0	0	0
LOC107985469	0	0	0	0	0	0
TMEM51-AS1	0.3475	0.4774	0.07105	0.1059	0.2111	0.1543
TMEM51	4.774	5.408	1.545	1.89	2.649	3.367
TMEM51-AS2	0.04033	0	0	0	0	0
FHAD1	0.08686	0.1299	0.03997	0.06929	0.05429	0.08488
FHAD1-AS1	0.1948	0.2739	0.1394	0.1511	0.1353	0.1346
EFHD2-AS1	0	0.03284	0.008758	0.00949	0	0
EFHD2	14.8	14.94	9.981	10.51	16.11	18.43
CTRC	0	0	0.01777	0	0	0
CELA2A	0.07354	0	0	0.07333	0.07661	0
LOC105376767	0.05402	0	0	0	0.05627	0
CELA2B	0.1472	0.1694	0.3387	0.2202	0.1534	0.1308
CASP9	5.949	5.146	5.504	5.228	5.011	4.929
DNAJC16	11.74	11.46	11.01	11.11	10.37	10.93
SCARNA21B	0	0	0	0	0	0
AGMAT	0.1959	0.2003	0.1802	0.1953	0.1134	0.2127
DDI2	21.99	23.55	24.27	23.57	24.6	25.78
RSC1A1	17.55	17.68	18.5	18.98	19.47	20.78
PLEKHM2	19.37	19.22	17.3	19.12	17.41	18.49
SLC25A34	0.6553	0.6135	0.7853	0.6991	0.4922	0.5957
SLC25A34-AS1	0.3192	0.1224	0.3917	0.3183	0.4434	0.3781
TMEM82	0	0	0	0.04655	0	0
FBLIM1	2.533	2.061	2.07	1.961	2.147	2.082
UQCRHL	77.5	82.23	78.46	76.41	84.78	74.63
SPEN-AS1	9.764	10.52	8.259	7.597	9.658	9.462
SPEN	15.4	15.89	12.95	13.79	16.24	15.59
ZBTB17	8.943	9.435	8.269	9.543	7.255	7.376
SRARP	0	0	0	0	0	0
HSPB7	0	0	0	0	0	0
CLCNKA	0.02704	0	0	0.05393	0	0.02402
CLCNKB	0.09171	0	0	0.06859	0	0.04074
FAM131C	0.7049	0.5406	0.03604	0.1172	0.2448	0.3827
EPHA2	3.392	3.012	1.539	1.856	1.939	1.934
EPHA2-AS1	0.334	0.3546	0.1182	0.1665	0.08029	0.1598
ARHGEF19	9.681	9.134	8.099	9.323	9.76	10.11
ANO7L1	0.3475	0.3831	0.3198	0.4476	0.3017	0.2315
CPLANE2	7.148	6.083	6.41	6.619	4.711	4.892
FBXO42	12.18	12.01	14.61	14.87	12.5	13.01
SZRD1	53.34	53.15	48.09	48.75	52.29	51.53
SPATA21	13.41	14.15	12.15	11.7	13.78	14
NECAP2	22.38	21.84	16.34	16.23	12.5	12.71
LINC01772	0.3529	0.191	0.2865	0.207	0.3027	0.2397
CROCCP3	1.343	1.415	1.028	1.126	1.033	0.9253
RNU1-1	0.4107	0	9.449	0.4096	0.4279	1.095
TRN-GTT5-1	0	0	0	0	0	0
LINC01783	0.04357	0.1002	0.04009	0.04345	0.04539	0.07741
TRE-TTC4-1	0.9355	0	0	0	0	0
TRG-CCC1-1	0	0	0	0	0	0
NBPF1	15.32	14.02	9.745	10.99	10.12	10.43
LOC105376794	4.179	4.012	3.02	3.478	3.363	4.11
CROCCP2	6.869	6.278	4.706	6.127	5.606	6.849
MST1P2	2.709	2.263	2.187	2.523	1.757	2.293
LOC107985736	0.02407	0.05536	0.04429	0.09599	0.05014	0.04276
RNU1-3	0.4107	0	9.071	0.4096	0.4279	0.7298
TRG-CCC4-1	0	0	0	0	0	0
ESPNP	1.07	0.5383	0.3999	0.5334	0.2786	0.594
TRG-CCC5-1	0.9487	0	0	0	0	0
RNU1-4	0	0.4725	2.646	0	0.4279	0.7298
MST1L	0.6349	0.5644	0.4648	0.6044	0.4209	0.6025
MIR3675	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0
LOC112267871	0.3649	0.3598	0.04798	0	0.2172	0.1389
TRE-TTC3-1	1.871	1.076	0	0	0	0
TRN-GTT13-1	0	0	0	0	0	0
LOC105376805	0.4277	0.369	0	0.1066	0.1114	0.4749
TRN-GTT4-1	0	0	0	0	0	0
RNU1-2	0	0.4725	3.024	0	0.4279	0.3649
CROCC	3.754	3.357	2.541	3.183	2.842	3.151
MFAP2	0.1146	0	0.05271	0.05712	0	0.05089
LOC105376806	0	0	0.1561	0	0	0
ATP13A2	27.94	26.68	22.12	24.91	25.41	26.48
SDHB	131.2	136.6	110.5	107.5	140.2	134.7
PADI2	1.555	1.536	0.8641	0.834	1.223	1.434
LOC105376808	0	0	0	0	0	0
LINC02783	0	0	0	0	0	0
PADI1	0.322	0.3175	0.02117	0	0.1078	0.01022
PADI3	0.02617	0.01505	0	0	0.01363	0
MIR3972	0	0	0	0	0	0
PADI4	0	0.02571	0	0	0	0
PADI6	0.05623	0.03234	0	0.02803	0	0.02498
RCC2	86.62	86.71	45.92	46.21	92.88	99.7
ARHGEF10L	3.655	3.493	2.888	3.39	2.667	2.841
LINC02810	0	0	0	0	0	0
ACTL8	0.4811	0.4744	0.09488	0.1714	0.537	0.9465
LOC105376809	0	0	0	0	0	0
LOC105376812	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	0.1444	0	0.05314	0.1152	0.1203	0.1282
IGSF21-AS1	0	0	0	0	0	0
KLHDC7A	0.06643	0.01528	0.01223	0.01325	0.02768	0.02361
PAX7	0	0	0	0.03113	0	0
TAS1R2	0	0	0.02459	0	0	0
ALDH4A1	21.31	20.99	47.43	50.5	31.31	33.97
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0.8612	0	0
IFFO2	4.339	4.502	3.692	3.631	5.065	5.065
LOC105376815	0.04183	0	0.03849	0	0	0.01858
UBR4	14.92	15.3	14.07	15.82	13.45	13.42
EMC1-AS1	6.815	5.776	5.611	6.152	6.277	6.309
EMC1	22.63	23.45	20.01	20.6	21.69	24.05
MRTO4	38.54	40.39	33.33	32.26	46.13	46.82
AKR7L	2.795	2.263	2.388	2.901	2.822	3.319
AKR7A3	1.045	1.1	1.045	1.46	1.027	1.061
LOC100506730	3.895	3.672	3.684	4.289	4.227	4.855
AKR7A2	24.18	25.27	28.99	32.47	29.77	29.22
SLC66A1	3.849	3.772	4.808	5.488	3.147	3.63
CAPZB	60.56	64.93	160.5	158.9	69.97	73.18
LOC105376819	0.07925	0	0.1458	0.07902	0	0.2112
LOC105376818	0	0	0	0	0	0
LOC105376817	0	0.06367	0	0.05519	0	0
MICOS10-DT	0	0.3743	0.8983	1.947	0	0
MICOS10	17.81	18.2	28.03	29.23	18.69	16.24
MICOS10-NBL1	9.291	9.246	21.26	23.01	8.756	7.467
RPS14P3	5.144	12.94	13.68	7.374	7.201	7.284
NBL1	0.1072	0.0493	5.345	5.963	0.2009	0.0952
HTR6	0.3368	0.3874	0.04894	0.1061	0.5725	0.4094
TMCO4	10.02	9.096	9.041	9.482	9.686	9.906
RNF186	0	0	0	0	0	0
LOC105376823	0.05472	0	0	0	0.057	0
OTUD3	8.39	7.423	4.217	4.356	6.996	7.237
PLA2G2E	0	0.0987	0	0	0	0
PLA2G2A	347	334.1	77.08	76.46	106.3	88.97
PLA2G5	0.2918	0.2909	1.7	1.571	1.966	1.555
