"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04613","hsa04613","Neutrophil extracellular trap formation",191,0.536676040103893,1.56269078197572,0.00014268913635777,0.00446227844609754,0.00385055851223839,3046,"tags=25%, list=8%, signal=23%","H2BC21/H2BC18/H2BC5/PRKCA/H2BC4/H4C8/H2BC7/H4C5/H2AC19/H2AC18/H3C6/H2AC7/MAPK11/H2AC6/H4C16/H2AC20/H2BC6/MTOR/H2AC8/H2AC21/H3C4/H2BC8/H4C2/H2BC11/H3C14/ACTB/H2BC13/H3C15/HDAC6/H2AC13/H4C14/H2AC17/H4C15/LOC102724334/H2BC12L/H2BC3/ACTG1/H4C12/H2AC15/H2AJ/AGER/H4C11/FPR1/H3C13/H3-5/H2AC14/H2BC12/H2BC15"
"hsa03430","hsa03430","Mismatch repair",23,-0.832794507516413,-1.77695679852339,0.000171736097624999,0.00492310146524998,0.00424820873072367,2198,"tags=70%, list=6%, signal=66%","RPA3/POLD2/RFC1/MSH2/RPA1/RFC5/MSH6/POLD1/LIG1/RPA2/POLD3/RFC2/RFC4/RFC3/PCNA/EXO1"
"hsa03040","hsa03040","Spliceosome",160,-0.549004501502328,-1.59718950477491,0.000198082982349341,0.00524158045601333,0.00452302842287564,7094,"tags=59%, list=19%, signal=48%","SF3B6/SNRPA/DDX23/SNRPB2/DDX42/PUF60/SRSF8/RNU6-8/THOC2/AQR/LSM7/NCBP2/BCAS2/SNRPD2/HSPA6/CHERP/SNW1/HNRNPM/HNRNPA3/PRPF38A/PLRG1/SF3B4/MAGOHB/RNVU1-15/SNU13/DHX15/TXNL4A/TCERG1/SNRPC/LSM3/RNU4-1/HNRNPC/RNVU1-14/USP39/CDC40/TRA2A/SMNDC1/RP9/DDX39B/PRPF40A/SNRPD3/SNRPE/MAGOH/SNRNP200/SNRPG/LSM8/TRA2B/SF3A1/PRPF8/RBM17/PHF5A/RNU6-1/EFTUD2/HSPA8/THOC1/SF3A2/HNRNPK/U2SURP/LSM5/PPIH/CDC5L/SNRPD1/SNRNP40/SNRPB/HNRNPU/SRSF10/DDX46/WBP11/RNVU1-6/HNRNPA1L2/EIF4A3/SRSF1/RNVU1-3/SNRPF/HNRNPA1/NCBP1/SRSF2/PRPF19/FUS/SF3A3/PPIL1/ALYREF/RBMX/SF3B3/LSM4/SRSF7/RNU5F-1/SRSF3/RNU5A-1/PRPF4/THOC3/LSM2/RNVU1-1/RNU5B-1"
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis",66,-0.666040110966206,-1.71568675237175,0.000272977408627998,0.00670744489771652,0.00578794204760116,8056,"tags=70%, list=21%, signal=55%","HARS1/AARS1/PARS2/FARSA/TRNM/NARS1/TRNP/TRND/TRNT/AARS2/EARS2/IARS2/MARS2/FARS2/SEPSECS/FARSB/TRNV/TRNQ/GATC/QARS1/GARS1/TRNW/TRNL1/VARS1/TRNI/CARS2/TRNC/TRNY/TRNL2/TRNK/LARS2/LARS1/TRNS2/TRNR/NARS2/TRNG/TRNA/TRNN/KARS1/DARS2/TRNH/MTFMT/EPRS1/IARS1/TARS3/VARS2"
"hsa04140","hsa04140","Autophagy - animal",168,0.535408052320524,1.53759415801904,0.000344445425059329,0.00789928174802729,0.00681639367485831,5911,"tags=43%, list=16%, signal=37%","OPTN/WIPI1/ERN1/RRAS/IRS2/IGF1R/MTOR/SQSTM1/ATG101/DAPK3/GABARAPL1/IGBP1/EIF2AK3/CAMKK2/WDR45/TP53INP2/PPP2CB/VMP1/ZFYVE1/ATG13/MTMR3/BCL2L1/CTSD/RAB1A/ATG4A/WDR41/MAP1LC3B2/TAX1BP1/C9orf72/PRKAA1/HIF1A/MAP1LC3B/GORASP2/GORASP1/PLEKHM1/ULK1/ATG2A/MAP1LC3A/NRBF2/SH3GLB1/CFLAR/NBR1/VAMP8/PRKAA2/ATG4B/BNIP3/YKT6/VPS39/RAB39B/TSC2/AMBRA1/PIK3CD/RRAGD/PRKCD/VPS11/PDPK1/WIPI2/TSC1/MTMR14/GABARAPL2/VPS18/NRAS/RRAGC/RPTOR/TBK1/RUBCN/RPS6KB2/RRAGA/TANK/PIK3C3/BIRC6/WDFY3/VPS33A"
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation",107,-0.572979637249757,-1.58060443152098,0.000532977587696085,0.0114590181354658,0.00988813682436157,3901,"tags=30%, list=10%, signal=27%","ANAPC7/MAPK8/ANAPC4/HSP90AB1/CDC25B/PDE3B/CDC27/KRAS/PIK3R2/PIK3CB/KIF22/CCNB1/ADCY7/AURKA/HSP90AA1/ANAPC1/MAPK9/PLK1/P3R3URF-PIK3R3/PIK3R3/CDC25C/BUB1/PIK3R1/ADCY3/CCNB2/CDC25A/ADCY1/CDK2/CCNA2/MAD2L1/CDK1/PKMYT1"
"hsa04114","hsa04114","Oocyte meiosis",135,-0.546401930767693,-1.55020955075371,0.000581369396837947,0.0117641807360149,0.010151465628997,4517,"tags=30%, list=12%, signal=27%","CDC23/YWHAG/ANAPC5/YWHAB/CALM1/ANAPC7/ANAPC4/CUL1/PPP3CA/PPP2R5A/ITPR1/CDC27/PTTG1/PPP3CB/SMC1A/CCNB1/ADCY7/AURKA/ANAPC1/PLK1/CDC20/PPP1CC/AR/CDC25C/BUB1/YWHAH/SMC3/ADCY3/SGO1/CCNB2/CCNE1/ADCY1/CDK2/CAMK2B/FBXO5/CAMK2D/ESPL1/MAD2L1/CDK1/PKMYT1/CCNE2"
"hsa03018","hsa03018","RNA degradation",78,-0.630379107094781,-1.66660767043059,0.000625815536108866,0.0119600302456361,0.0103204667358304,7040,"tags=59%, list=19%, signal=48%","DIS3/XRN2/DHX36/EXOSC4/ENO2/LSM7/CNOT8/DDX6/DCP1B/DCP1A/PARN/CNOT7/LSM3/TENT4A/PATL1/CNOT6L/CNOT9/HSPA9/TENT4B/CNOT6/EXOSC10/EXOSC5/EXOSC7/LSM8/PNPT1/EXOSC6/SKIC8/LSM5/DCP2/CNOT10/CNOT1/BTG3/PABPC5/PABPC1/MPHOSPH6/LSM4/DCPS/PABPC4/DIS3L/PFKM/HSPD1/BTG2/EXOSC8/EXOSC9/EXOSC2/LSM2"
"hsa01232","hsa01232","Nucleotide metabolism",85,-0.603962854545808,-1.62456376905055,0.000800341442261951,0.0144903924283216,0.0125039494026521,3637,"tags=40%, list=10%, signal=36%","NME7/NT5C3B/CTPS2/RRM2B/UCK1/UCK2/NME1/ADSS1/APRT/AK5/DCTPP1/AK7/ADSS2/NT5DC4/ADK/NT5C3A/CTPS1/GMPS/ADA/ENPP1/HPRT1/DTYMK/ENPP3/CMPK2/NT5M/ENTPD1/IMPDH2/PNP/DUT/DCK/RRM1/TK1/TYMS/RRM2"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",124,0.56655475081963,1.5740038234356,0.000882537755227224,0.0151796493899083,0.0130987182617935,578,"tags=15%, list=2%, signal=14%","RMRP/RNA5-8SN4/RNA5-8SN1/RNA5-8SN3/RNA5-8SN2/SNORD3A/RNA5-8SN5/SNORD3C/SNORD3B-1/SNORD3B-2/RNA18SN2/RNA18SN5/RNA18SN3/RNA18SN4/NXF2B/RNA18SN1/SNORD3D/NXF2"
"hsa04218","hsa04218","Cellular senescence",157,-0.500960412090924,-1.44900485330354,0.0014250325159401,0.0233433897849236,0.0201433167666721,3472,"tags=31%, list=9%, signal=28%","PPID/RB1/E2F3/VDAC1/PPP3CA/ITPR1/KRAS/CCND1/PPP3CB/PIK3R2/PIK3CB/SLC25A5/LIN54/CCNB1/SMAD3/CCND3/MCU/VDAC3/EIF4EBP1/TP53/NBN/PPP1CC/P3R3URF-PIK3R3/ZFP36L2/PIK3R3/GADD45A/RAD1/CDK4/MRE11/PIK3R1/FOXM1/MAP2K6/CCNB2/CCNE1/CDC25A/MYC/CDK2/CHEK2/RASSF5/CCNA2/LIN9/CDK1/RBL1/CHEK1/MYBL2/E2F2/E2F1/CCNE2"
"hsa00830","hsa00830","Retinol metabolism",68,0.627597101778478,1.61851389265993,0.00172241926411523,0.0257737534528953,0.0222405094054972,1916,"tags=25%, list=5%, signal=24%","UGT2B28/UGT2B11/UGT1A1/ALDH1A3/DHRS3/UGT2B7/RDH10/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/CYP2A6/UGT1A8/UGT1A10/UGT1A9/UGT1A7"
"hsa04144","hsa04144","Endocytosis",250,0.473507529365934,1.40309331060269,0.00172324514365289,0.0257737534528953,0.0222405094054972,6017,"tags=38%, list=16%, signal=32%","CXCR4/VPS26B/WASHC3/CAPZB/IGF1R/ARFGAP3/RAB4A/CYTH1/SMAP1/LDLR/AGAP5/IL2RG/IGF2R/CYTH2/HLA-B/ARF4/SMURF1/RAB5A/AGAP4/EPS15/ARFGAP1/AP2S1/EPN2/STAM2/PSD3/GRK2/HLA-C/VPS36/CBLC/GBF1/KIF5C/WASHC2A/WWP1/NEDD4L/AGAP9/WASHC2C/SPG21/ARPC1B/HLA-A/STAMBP/ARPC4/CHMP1B/CHMP4A/HLA-E/WASHC1/ACAP1/RAB5B/CHMP6/CDC42/DNM2/SH3GLB1/AGAP6/PML/RAB11FIP5/USP8/VPS28/PLD2/ZFYVE27/CHMP2A/CHMP5/ARFGEF2/ARAP2/VPS37C/IQSEC2/EGFR/EHD4/TGFBR1/CHMP4C/ARPC3/RAB11B/VPS37D/ARF1/CHMP2B/HLA-F/CBLB/WIPF2/HSPA1A/RAB22A/PIP5K1C/RAB11A/SNX32/RAB35/HLA-G/HSPA1B/CLTC/AP2B1/SNX4/ARFGAP2/CHMP1A/KIF5A/AGAP2/PRKCZ/CLTA/ASAP3/CBL/TSG101"
"hsa00240","hsa00240","Pyrimidine metabolism",58,-0.63971243336465,-1.61976040936283,0.00222517894642266,0.0318942315653915,0.0275219501268066,3637,"tags=43%, list=10%, signal=39%","NME7/NT5C3B/CTPS2/RRM2B/UCK1/UCK2/NME1/DCTPP1/UMPS/NT5DC4/NT5C3A/CTPS1/ENPP1/DTYMK/ENPP3/CMPK2/CAD/NT5M/ENTPD1/DUT/DCK/RRM1/TK1/TYMS/RRM2"
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars",37,0.704870275618666,1.62638089494077,0.00329046053455473,0.0452767369554731,0.0390698892945025,3644,"tags=54%, list=10%, signal=49%","PGM3/GMPPA/UAP1/MIOX/GMPPB/GFPT1/NANS/HK1/PGM2/GALK2/PMM1/UAP1L1/NAGK/GALE/GNE/HK2/PGM1/CMAS/GMDS/PMM2"
"hsa04217","hsa04217","Necroptosis",158,0.496760996058263,1.41621721442326,0.00363432499992703,0.0480849153836499,0.0414931032380332,3799,"tags=29%, list=10%, signal=26%","TNFAIP3/GLUL/TNFRSF10B/BIRC3/TRADD/GLUD2/H2AC19/GLUD1/H2AC18/H2AC7/H2AC6/H2AC20/H2AC8/SQSTM1/H2AC21/CAPN2/SPATA2/TNF/DNM1L/TNFRSF1A/PLA2G4C/JAK1/PLA2G4E/PYGB/H2AC13/H2AC17/TNFSF10/SMPD1/H2AC15/H2AJ/STAT5A/IFNGR1/PLA2G4B/CHMP1B/CHMP4A/CHMP6/H2AC14/JMJD7-PLA2G4B/STAT2/CYLD/TICAM1/CFLAR/H2AC11/CHMP2A/CHMP5/IFNGR2"
"hsa00790","hsa00790","Folate biosynthesis",28,-0.720390471954174,-1.60137938632049,0.0060977106086428,0.0724941408702829,0.0625561435906359,5701,"tags=57%, list=15%, signal=48%","AKR1B10/TPH1/MOCS1/AKR1C3/PCBD1/CBR1/GCH1/SPR/MOCOS/GPHN/MOCS2/PCBD2/GGH/QDPR/AKR1B1/DHFR"
"hsa01524","hsa01524","Platinum drug resistance",74,-0.581564758926312,-1.52785191883649,0.00632037053039658,0.0724941408702829,0.0625561435906359,6247,"tags=47%, list=17%, signal=39%","MDM2/ERBB2/MGST2/MLH1/ERCC1/CDKN2A/GSTA4/CASP3/BAX/GSTM3/BID/FAS/XPA/GSTA5/TOP2B/CYCS/MAP3K5/PIK3R2/PIK3CB/MSH2/REV3L/BBC3/POLH/BCL2/TP53/GSTA2/P3R3URF-PIK3R3/PIK3R3/PIK3R1/PMAIP1/GSTA1/MSH6/BIRC5/TOP2A/BRCA1"
"hsa04115","hsa04115","p53 signaling pathway",75,-0.570267315089218,-1.49611039324407,0.00632216344798979,0.0724941408702829,0.0625561435906359,4538,"tags=52%, list=12%, signal=46%","CASP3/CCNG1/AIFM2/SERPINE1/BAX/BID/FAS/RRM2B/CYCS/CCNG2/ZNF385A/TP73/CCND1/EI24/SESN2/CD82/STEAP3/BBC3/SIVA1/GTSE1/CCNB1/CCND3/BCL2/TP53/SESN1/SERPINB5/GADD45A/CDK4/SESN3/PMAIP1/CCNB2/CCNE1/DDB2/CDK2/CHEK2/CDK1/CHEK1/RRM2/CCNE2"
"hsa04142","hsa04142","Lysosome",133,0.512273435197933,1.4384396222466,0.00611558044159959,0.0724941408702829,0.0625561435906359,5956,"tags=45%, list=16%, signal=38%","NEU1/ARSG/CD68/ACP2/NPC1/IGF2R/ARSA/SGSH/CD63/ATP6V0A2/AP1G2/CTNS/NAGLU/ENTPD4/GALNS/MEAK7/CTSD/SMPD1/LGMN/DNASE2B/AP3D1/ATP6V0B/TCIRG1/CTSK/CTSO/AP1G1/HEXA/ASAH1/CLN3/HGSNAT/GBA1/ATP6V0D1/ATP6AP1/CD164/IDUA/AP1B1/CTSS/TPP1/AP1S2/NAGPA/AP3S2/SLC11A2/SLC17A5/ATP6V0C/GNPTAB/PLA2G15/HYAL1/NAPSA/LITAF/CLN5/CTSA/MAN2B1/MFSD8/SORT1/CLTC/ATP6V0A1/CLTA/SLC11A1/ACP5/ATP6V1H"
"hsa00140","hsa00140","Steroid hormone biosynthesis",63,0.595454516971056,1.52486450044581,0.0093045527261683,0.103250520574255,0.0890962264441244,3847,"tags=33%, list=10%, signal=30%","UGT2B28/UGT2B11/HSD17B11/UGT1A1/UGT2B7/UGT2B10/UGT1A3/UGT2B4/SRD5A1/UGT1A4/UGT1A5/UGT1A8/UGT1A10/UGT1A9/UGT1A7/CYP3A5/HSD17B2/HSD17B7/CYP11A1/AKR1D1/HSD17B1"
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor",98,0.528394655903299,1.42280871019657,0.0104434985938751,0.112267609884157,0.0968771909037097,4039,"tags=18%, list=11%, signal=16%","CCL20/CXCR4/CXCL11/TNFRSF10B/CXCL10/IL2RG/IL10RB/CCL2/TNF/TNFRSF1A/IL6ST/IL20RA/TNFSF10/TNFRSF14/LTBR/CCL8/CCL27/IL6R"
"hsa05320","hsa05320","Autoimmune thyroid disease",52,0.631083200915021,1.55458978233005,0.0118353467972295,0.113949770722875,0.0983287495221872,5184,"tags=15%, list=14%, signal=13%","TG/HLA-DMA/HLA-B/HLA-C/HLA-A/HLA-E/HLA-F/HLA-G"
"hsa05110","hsa05110","Vibrio cholerae infection",50,0.617198615655717,1.50402278634889,0.0119249760058823,0.113949770722875,0.0983287495221872,6698,"tags=64%, list=18%, signal=53%","PRKCA/ERO1A/KDELR3/SEC61G/SEC61B/ACTB/ATP6V0A2/KDELR2/ACTG1/ATP6V1G1/PDIA4/ATP6V0E1/ATP6V1C2/ATP6V0B/TCIRG1/TJP1/SEC61A1/ATP6V0D1/KDELR1/ATP6AP1/ATP6V1E1/ATP6V1C1/ATP6V0C/ARF1/TJP2/ATP6V0A1/ATP6V1H/ATP6V1D/ATP6V0D2/ATP6V1G2/SLC12A2/SEC61A2"
"hsa03083","hsa03083","Polycomb repressive complex",83,-0.545441050254903,-1.45690211519011,0.0111426938228815,0.113949770722875,0.0983287495221872,6719,"tags=49%, list=18%, signal=41%","L3MBTL3/ASXL2/FBRSL1/BCORL1/E2F6/HCFC1/CBX7/YY1/CSNK2B/PHC1/PHC2/UBE2D1/MGA/SCML1/KDM2B/DCAF7/RBBP4/AEBP2/FOXK1/UBE2D2/AUTS2/PCGF5/TEX10/SFMBT1/USP45/HDAC1/EED/RBBP7/MTF2/HDAC2/EPOP/CBX3/WDR5/SUZ12/CBX2/PCGF6/CBX6/SCML2/TFDP1/EZH2/AURKB"
"hsa04064","hsa04064","NF-kappa B signaling pathway",104,0.513998629629707,1.39043487631322,0.0115011680742659,0.113949770722875,0.0983287495221872,3310,"tags=22%, list=9%, signal=20%","GADD45G/TNFAIP3/RELB/NFKBIA/NFKB2/BIRC3/TRADD/TNF/TNFRSF1A/PPP1R13L/MALT1/BCL2L1/BCL10/LAT/GADD45B/IKBKG/TAB3/LTBR/CYLD/TICAM1/CFLAR/CARD10/CARD14"
"hsa00053","hsa00053","Ascorbate and aldarate metabolism",30,0.697882758080323,1.55092828729924,0.0124551472350337,0.115799206725719,0.0999246520705406,1916,"tags=47%, list=5%, signal=44%","UGT2B28/UGT2B11/UGT1A1/MIOX/UGT2B7/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/UGT1A8/UGT1A10/UGT1A9/UGT1A7"
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism",49,0.605580258092466,1.47264687029778,0.0142681582080889,0.129164379567963,0.111457634755708,4448,"tags=47%, list=12%, signal=41%","PGM3/GMPPA/UAP1/GMPPB/GFPT1/NANS/HK1/PGM2/GALK2/PMM1/UAP1L1/NAGK/GALE/GNE/HK2/PGM1/HEXA/CMAS/GMDS/CYB5R3/PMM2/CYB5R1/CYB5R4"
"hsa03020","hsa03020","RNA polymerase",34,-0.662475678915698,-1.53632526037613,0.0150803379280115,0.129690906180899,0.111911981465769,4011,"tags=71%, list=11%, signal=63%","POLR2K/POLR2A/POLR1H/POLR3GL/POLR3C/POLR3F/POLR2C/POLR3H/POLR2E/POLR1A/POLR1D/POLR2H/POLR3B/POLR2B/POLR2I/POLR1C/POLR2M/POLR1F/POLR3K/POLR1G/POLR2D/POLR1B/POLR1E/POLR3G"
"hsa00982","hsa00982","Drug metabolism - cytochrome P450",70,0.568072697179993,1.47270342600121,0.0149020198272829,0.129690906180899,0.111911981465769,3115,"tags=27%, list=8%, signal=25%","UGT2B28/UGT2B11/FMO4/UGT1A1/UGT2B7/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/CYP2A6/UGT1A8/UGT1A10/UGT1A9/UGT1A7/CYP3A5/GSTT2/CYP2D7/GSTT2B"
"hsa00230","hsa00230","Purine metabolism",128,-0.489914213701688,-1.38714683235221,0.0158935163321227,0.133350478493907,0.115069874342968,4935,"tags=34%, list=13%, signal=29%","ENPP4/PDE6D/ADA2/AK1/GUCY1A2/NME1-NME2/PRUNE1/PDE4A/PDE7A/PRPS1/NME7/PDE3B/RRM2B/NME1/ADSS1/APRT/AK5/AK7/ADSS2/NT5DC4/ADK/GUCY1B1/GART/PFAS/ADCY7/GMPS/ADA/PAICS/ENPP1/ATIC/HPRT1/PRPS2/ENPP3/PPAT/NT5M/ADCY3/ENTPD1/IMPDH2/PNP/ADCY1/DCK/RRM1/RRM2"
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts",69,0.563221522277703,1.45964094050359,0.0164747429519652,0.134935989892287,0.116438032893589,3115,"tags=28%, list=8%, signal=25%","UGT2B28/UGT2B11/NAT1/UGT1A1/UGT2B7/UGT2B10/UGT1A3/UGT2B4/UGT1A4/UGT1A5/CYP2A6/UGT1A8/UGT1A10/UGT1A9/UGT1A7/CYP3A5/GSTT2/CYP3A43/GSTT2B"
"hsa03060","hsa03060","Protein export",31,0.655848169783366,1.46923591689126,0.0192225355653744,0.149675213140988,0.129156701670008,4371,"tags=52%, list=12%, signal=46%","SRP19/SEC61G/SRPRA/HSPA5/SPCS3/SEC61B/SEC11C/SRP54/SPCS2/SEC63/TMEM208/SEC61A1/SRP68/SEC62/SRPRB/SRP72"
